StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"QLD"," A","1","READING","Scott","Senator On-Line",1
"QLD"," A","1","EMBREY","Joh","Senator On-Line",2
"QLD"," A","1","VETTER","Anne","Carers Alliance",5
"QLD"," A","1","HORNE","Vicki","Carers Alliance",6
"QLD"," A","1","SPENCER","Paul","",33
"QLD"," A","1","SPENCER","Mary","",34
"QLD"," A","1","FRANCIS","Wendy","Family First",13
"QLD"," A","1","FINDLAY","Peter","Family First",14
"QLD"," A","1","NICKSON","Amanda","Family First",15
"QLD"," A","1","PETER","Andrew Mark","Shooters and Fishers",35
"QLD"," A","1","HUGGETT","Chris","Shooters and Fishers",36
"QLD"," A","1","PYKE","John Richard","",37
"QLD"," A","1","TOOLEY","Christopher Ronald","",38
"QLD"," A","1","LINDSAY-PARK","E-Jay","",39
"QLD"," A","1","GUERIN","Lachlan","",40
"QLD"," A","1","EVANS","Rod","One Nation",29
"QLD"," A","1","NELSON","Ian J","One Nation",30
"QLD"," A","1","WATTIE","Russell","",41
"QLD"," A","1","DOWELL","John","",42
"QLD"," A","1","STEVENSON","Paul Joseph","Australian Democrats",3
"QLD"," A","1","CLUSE","Jennifer","Australian Democrats",4
"QLD"," A","1","SCHUBACK","Peter","Australia First Party",25
"QLD"," A","1","MAINE","Nick","Australia First Party",26
"QLD"," A","1","ALBERTS","Kat","Secular Party of Australia",31
"QLD"," A","1","SHELTON","Peter","Secular Party of Australia",32
"QLD"," A","1","CARDWELL","Terence Leonard","The Climate Sceptics",9
"QLD"," A","1","JONES","Lance Herbert","The Climate Sceptics",10
"QLD"," A","1","THIES","Robert","Citizens Electoral Council",18
"QLD"," A","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",19
"QLD"," A","1","BRANDIS","George Henry","Liberal National Party of Queensland",53
"QLD"," A","1","JOYCE","Barnaby","Liberal National Party of Queensland",54
"QLD"," A","1","MASON","Brett","Liberal National Party of Queensland",55
"QLD"," A","1","TROOD","Russell","Liberal National Party of Queensland",56
"QLD"," A","1","BOYD","Julie","Liberal National Party of Queensland",57
"QLD"," A","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",16
"QLD"," A","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",17
"QLD"," A","1","GIBSON","Desiree Lee","Australian Sex Party",11
"QLD"," A","1","SHEEN","Tim","Australian Sex Party",12
"QLD"," A","1","WATERS","Larissa","The Greens",58
"QLD"," A","1","CONNORS","Elizabeth Louise Alice","The Greens",59
"QLD"," A","1","STIRLING","Jenny","The Greens",60
"QLD"," A","1","WATSON","Sam","Socialist Alliance",27
"QLD"," A","1","LOWE","David","Socialist Alliance",28
"QLD"," A","1","LUDWIG","Joe","Australian Labor Party",49
"QLD"," A","1","McLUCAS","Jan","Australian Labor Party",50
"QLD"," A","1","SMITH","David","Australian Labor Party",51
"QLD"," A","1","FENTIMAN","Shannon","Australian Labor Party",52
"QLD"," A","1","FRYAR","Jim","Liberal Democrats (LDP)",7
"QLD"," A","1","FULTON","Robert","Liberal Democrats (LDP)",8
"QLD"," A","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",20
"QLD"," A","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",21
"QLD"," A","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",22
"QLD"," A","1","BRICE","Malcolm","Christian Democratic Party",23
"QLD"," A","1","VOGEL","Tony","Christian Democratic Party",24
"QLD"," A","1","WHITE","Mark","Independent",43
"QLD"," A","1","BAMBRICK","Don","Independent",44
"QLD"," A","1","SMITH","Mark Leslie Chapman","Independent",45
"QLD"," A","1","WIRTH","Jarrod John","Independent",46
"QLD"," A","1","PYKE","Peter","",47
"QLD"," A","1","CARROLL","Maurie","Independent",48
"QLD"," B","1","READING","Scott","Senator On-Line",5
"QLD"," B","2","READING","Scott","Senator On-Line",5
"QLD"," B","1","EMBREY","Joh","Senator On-Line",6
"QLD"," B","2","EMBREY","Joh","Senator On-Line",6
"QLD"," B","1","VETTER","Anne","Carers Alliance",1
"QLD"," B","2","VETTER","Anne","Carers Alliance",1
"QLD"," B","1","HORNE","Vicki","Carers Alliance",2
"QLD"," B","2","HORNE","Vicki","Carers Alliance",2
"QLD"," B","1","SPENCER","Paul","",26
"QLD"," B","2","SPENCER","Paul","",26
"QLD"," B","1","SPENCER","Mary","",27
"QLD"," B","2","SPENCER","Mary","",27
"QLD"," B","1","FRANCIS","Wendy","Family First",21
"QLD"," B","2","FRANCIS","Wendy","Family First",21
"QLD"," B","1","FINDLAY","Peter","Family First",22
"QLD"," B","2","FINDLAY","Peter","Family First",22
"QLD"," B","1","NICKSON","Amanda","Family First",23
"QLD"," B","2","NICKSON","Amanda","Family First",23
"QLD"," B","1","PETER","Andrew Mark","Shooters and Fishers",24
"QLD"," B","2","PETER","Andrew Mark","Shooters and Fishers",24
"QLD"," B","1","HUGGETT","Chris","Shooters and Fishers",25
"QLD"," B","2","HUGGETT","Chris","Shooters and Fishers",25
"QLD"," B","1","PYKE","John Richard","",28
"QLD"," B","2","PYKE","John Richard","",28
"QLD"," B","1","TOOLEY","Christopher Ronald","",29
"QLD"," B","2","TOOLEY","Christopher Ronald","",29
"QLD"," B","1","LINDSAY-PARK","E-Jay","",45
"QLD"," B","2","LINDSAY-PARK","E-Jay","",45
"QLD"," B","1","GUERIN","Lachlan","",46
"QLD"," B","2","GUERIN","Lachlan","",46
"QLD"," B","1","EVANS","Rod","One Nation",32
"QLD"," B","2","EVANS","Rod","One Nation",32
"QLD"," B","1","NELSON","Ian J","One Nation",33
"QLD"," B","2","NELSON","Ian J","One Nation",33
"QLD"," B","1","WATTIE","Russell","",34
"QLD"," B","2","WATTIE","Russell","",34
"QLD"," B","1","DOWELL","John","",35
"QLD"," B","2","DOWELL","John","",35
"QLD"," B","1","STEVENSON","Paul Joseph","Australian Democrats",3
"QLD"," B","2","STEVENSON","Paul Joseph","Australian Democrats",3
"QLD"," B","1","CLUSE","Jennifer","Australian Democrats",4
"QLD"," B","2","CLUSE","Jennifer","Australian Democrats",4
"QLD"," B","1","SCHUBACK","Peter","Australia First Party",36
"QLD"," B","2","SCHUBACK","Peter","Australia First Party",36
"QLD"," B","1","MAINE","Nick","Australia First Party",37
"QLD"," B","2","MAINE","Nick","Australia First Party",37
"QLD"," B","1","ALBERTS","Kat","Secular Party of Australia",49
"QLD"," B","2","ALBERTS","Kat","Secular Party of Australia",49
"QLD"," B","1","SHELTON","Peter","Secular Party of Australia",50
"QLD"," B","2","SHELTON","Peter","Secular Party of Australia",50
"QLD"," B","1","CARDWELL","Terence Leonard","The Climate Sceptics",38
"QLD"," B","2","CARDWELL","Terence Leonard","The Climate Sceptics",38
"QLD"," B","1","JONES","Lance Herbert","The Climate Sceptics",39
"QLD"," B","2","JONES","Lance Herbert","The Climate Sceptics",39
"QLD"," B","1","THIES","Robert","Citizens Electoral Council",57
"QLD"," B","2","THIES","Robert","Citizens Electoral Council",57
"QLD"," B","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",58
"QLD"," B","2","HETHERINGTON","Maurice Verney","Citizens Electoral Council",58
"QLD"," B","1","BRANDIS","George Henry","Liberal National Party of Queensland",7
"QLD"," B","2","BRANDIS","George Henry","Liberal National Party of Queensland",11
"QLD"," B","1","JOYCE","Barnaby","Liberal National Party of Queensland",8
"QLD"," B","2","JOYCE","Barnaby","Liberal National Party of Queensland",12
"QLD"," B","1","MASON","Brett","Liberal National Party of Queensland",9
"QLD"," B","2","MASON","Brett","Liberal National Party of Queensland",13
"QLD"," B","1","TROOD","Russell","Liberal National Party of Queensland",10
"QLD"," B","2","TROOD","Russell","Liberal National Party of Queensland",14
"QLD"," B","1","BOYD","Julie","Liberal National Party of Queensland",11
"QLD"," B","2","BOYD","Julie","Liberal National Party of Queensland",15
"QLD"," B","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",19
"QLD"," B","2","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",19
"QLD"," B","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",20
"QLD"," B","2","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",20
"QLD"," B","1","GIBSON","Desiree Lee","Australian Sex Party",59
"QLD"," B","2","GIBSON","Desiree Lee","Australian Sex Party",59
"QLD"," B","1","SHEEN","Tim","Australian Sex Party",60
"QLD"," B","2","SHEEN","Tim","Australian Sex Party",60
"QLD"," B","1","WATERS","Larissa","The Greens",16
"QLD"," B","2","WATERS","Larissa","The Greens",16
"QLD"," B","1","CONNORS","Elizabeth Louise Alice","The Greens",17
"QLD"," B","2","CONNORS","Elizabeth Louise Alice","The Greens",17
"QLD"," B","1","STIRLING","Jenny","The Greens",18
"QLD"," B","2","STIRLING","Jenny","The Greens",18
"QLD"," B","1","WATSON","Sam","Socialist Alliance",55
"QLD"," B","2","WATSON","Sam","Socialist Alliance",55
"QLD"," B","1","LOWE","David","Socialist Alliance",56
"QLD"," B","2","LOWE","David","Socialist Alliance",56
"QLD"," B","1","LUDWIG","Joe","Australian Labor Party",12
"QLD"," B","2","LUDWIG","Joe","Australian Labor Party",7
"QLD"," B","1","McLUCAS","Jan","Australian Labor Party",13
"QLD"," B","2","McLUCAS","Jan","Australian Labor Party",8
"QLD"," B","1","SMITH","David","Australian Labor Party",14
"QLD"," B","2","SMITH","David","Australian Labor Party",9
"QLD"," B","1","FENTIMAN","Shannon","Australian Labor Party",15
"QLD"," B","2","FENTIMAN","Shannon","Australian Labor Party",10
"QLD"," B","1","FRYAR","Jim","Liberal Democrats (LDP)",42
"QLD"," B","2","FRYAR","Jim","Liberal Democrats (LDP)",42
"QLD"," B","1","FULTON","Robert","Liberal Democrats (LDP)",43
"QLD"," B","2","FULTON","Robert","Liberal Democrats (LDP)",43
"QLD"," B","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",40
"QLD"," B","2","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",40
"QLD"," B","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",41
"QLD"," B","2","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",41
"QLD"," B","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",44
"QLD"," B","2","JACKSON","Noel W","D.L.P. - Democratic Labor Party",44
"QLD"," B","1","BRICE","Malcolm","Christian Democratic Party",30
"QLD"," B","2","BRICE","Malcolm","Christian Democratic Party",30
"QLD"," B","1","VOGEL","Tony","Christian Democratic Party",31
"QLD"," B","2","VOGEL","Tony","Christian Democratic Party",31
"QLD"," B","1","WHITE","Mark","Independent",47
"QLD"," B","2","WHITE","Mark","Independent",47
"QLD"," B","1","BAMBRICK","Don","Independent",48
"QLD"," B","2","BAMBRICK","Don","Independent",48
"QLD"," B","1","SMITH","Mark Leslie Chapman","Independent",51
"QLD"," B","2","SMITH","Mark Leslie Chapman","Independent",51
"QLD"," B","1","WIRTH","Jarrod John","Independent",52
"QLD"," B","2","WIRTH","Jarrod John","Independent",52
"QLD"," B","1","PYKE","Peter","",53
"QLD"," B","2","PYKE","Peter","",53
"QLD"," B","1","CARROLL","Maurie","Independent",54
"QLD"," B","2","CARROLL","Maurie","Independent",54
"QLD"," C","1","READING","Scott","Senator On-Line",36
"QLD"," C","2","READING","Scott","Senator On-Line",36
"QLD"," C","1","EMBREY","Joh","Senator On-Line",37
"QLD"," C","2","EMBREY","Joh","Senator On-Line",37
"QLD"," C","1","VETTER","Anne","Carers Alliance",15
"QLD"," C","2","VETTER","Anne","Carers Alliance",15
"QLD"," C","1","HORNE","Vicki","Carers Alliance",16
"QLD"," C","2","HORNE","Vicki","Carers Alliance",16
"QLD"," C","1","SPENCER","Paul","",1
"QLD"," C","2","SPENCER","Paul","",1
"QLD"," C","1","SPENCER","Mary","",2
"QLD"," C","2","SPENCER","Mary","",2
"QLD"," C","1","FRANCIS","Wendy","Family First",31
"QLD"," C","2","FRANCIS","Wendy","Family First",31
"QLD"," C","1","FINDLAY","Peter","Family First",32
"QLD"," C","2","FINDLAY","Peter","Family First",32
"QLD"," C","1","NICKSON","Amanda","Family First",33
"QLD"," C","2","NICKSON","Amanda","Family First",33
"QLD"," C","1","PETER","Andrew Mark","Shooters and Fishers",57
"QLD"," C","2","PETER","Andrew Mark","Shooters and Fishers",57
"QLD"," C","1","HUGGETT","Chris","Shooters and Fishers",58
"QLD"," C","2","HUGGETT","Chris","Shooters and Fishers",58
"QLD"," C","1","PYKE","John Richard","",5
"QLD"," C","2","PYKE","John Richard","",5
"QLD"," C","1","TOOLEY","Christopher Ronald","",6
"QLD"," C","2","TOOLEY","Christopher Ronald","",6
"QLD"," C","1","LINDSAY-PARK","E-Jay","",3
"QLD"," C","2","LINDSAY-PARK","E-Jay","",3
"QLD"," C","1","GUERIN","Lachlan","",4
"QLD"," C","2","GUERIN","Lachlan","",4
"QLD"," C","1","EVANS","Rod","One Nation",47
"QLD"," C","2","EVANS","Rod","One Nation",47
"QLD"," C","1","NELSON","Ian J","One Nation",48
"QLD"," C","2","NELSON","Ian J","One Nation",48
"QLD"," C","1","WATTIE","Russell","",7
"QLD"," C","2","WATTIE","Russell","",7
"QLD"," C","1","DOWELL","John","",8
"QLD"," C","2","DOWELL","John","",8
"QLD"," C","1","STEVENSON","Paul Joseph","Australian Democrats",18
"QLD"," C","2","STEVENSON","Paul Joseph","Australian Democrats",18
"QLD"," C","1","CLUSE","Jennifer","Australian Democrats",17
"QLD"," C","2","CLUSE","Jennifer","Australian Democrats",17
"QLD"," C","1","SCHUBACK","Peter","Australia First Party",34
"QLD"," C","2","SCHUBACK","Peter","Australia First Party",34
"QLD"," C","1","MAINE","Nick","Australia First Party",35
"QLD"," C","2","MAINE","Nick","Australia First Party",35
"QLD"," C","1","ALBERTS","Kat","Secular Party of Australia",45
"QLD"," C","2","ALBERTS","Kat","Secular Party of Australia",45
"QLD"," C","1","SHELTON","Peter","Secular Party of Australia",46
"QLD"," C","2","SHELTON","Peter","Secular Party of Australia",46
"QLD"," C","1","CARDWELL","Terence Leonard","The Climate Sceptics",53
"QLD"," C","2","CARDWELL","Terence Leonard","The Climate Sceptics",53
"QLD"," C","1","JONES","Lance Herbert","The Climate Sceptics",54
"QLD"," C","2","JONES","Lance Herbert","The Climate Sceptics",54
"QLD"," C","1","THIES","Robert","Citizens Electoral Council",55
"QLD"," C","2","THIES","Robert","Citizens Electoral Council",55
"QLD"," C","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",56
"QLD"," C","2","HETHERINGTON","Maurice Verney","Citizens Electoral Council",56
"QLD"," C","1","BRANDIS","George Henry","Liberal National Party of Queensland",30
"QLD"," C","2","BRANDIS","George Henry","Liberal National Party of Queensland",26
"QLD"," C","1","JOYCE","Barnaby","Liberal National Party of Queensland",29
"QLD"," C","2","JOYCE","Barnaby","Liberal National Party of Queensland",25
"QLD"," C","1","MASON","Brett","Liberal National Party of Queensland",28
"QLD"," C","2","MASON","Brett","Liberal National Party of Queensland",24
"QLD"," C","1","TROOD","Russell","Liberal National Party of Queensland",27
"QLD"," C","2","TROOD","Russell","Liberal National Party of Queensland",23
"QLD"," C","1","BOYD","Julie","Liberal National Party of Queensland",26
"QLD"," C","2","BOYD","Julie","Liberal National Party of Queensland",22
"QLD"," C","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",43
"QLD"," C","2","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",43
"QLD"," C","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",44
"QLD"," C","2","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",44
"QLD"," C","1","GIBSON","Desiree Lee","Australian Sex Party",59
"QLD"," C","2","GIBSON","Desiree Lee","Australian Sex Party",59
"QLD"," C","1","SHEEN","Tim","Australian Sex Party",60
"QLD"," C","2","SHEEN","Tim","Australian Sex Party",60
"QLD"," C","1","WATERS","Larissa","The Greens",19
"QLD"," C","2","WATERS","Larissa","The Greens",19
"QLD"," C","1","CONNORS","Elizabeth Louise Alice","The Greens",20
"QLD"," C","2","CONNORS","Elizabeth Louise Alice","The Greens",20
"QLD"," C","1","STIRLING","Jenny","The Greens",21
"QLD"," C","2","STIRLING","Jenny","The Greens",21
"QLD"," C","1","WATSON","Sam","Socialist Alliance",49
"QLD"," C","2","WATSON","Sam","Socialist Alliance",49
"QLD"," C","1","LOWE","David","Socialist Alliance",50
"QLD"," C","2","LOWE","David","Socialist Alliance",50
"QLD"," C","1","LUDWIG","Joe","Australian Labor Party",25
"QLD"," C","2","LUDWIG","Joe","Australian Labor Party",30
"QLD"," C","1","McLUCAS","Jan","Australian Labor Party",24
"QLD"," C","2","McLUCAS","Jan","Australian Labor Party",28
"QLD"," C","1","SMITH","David","Australian Labor Party",23
"QLD"," C","2","SMITH","David","Australian Labor Party",29
"QLD"," C","1","FENTIMAN","Shannon","Australian Labor Party",22
"QLD"," C","2","FENTIMAN","Shannon","Australian Labor Party",27
"QLD"," C","1","FRYAR","Jim","Liberal Democrats (LDP)",41
"QLD"," C","2","FRYAR","Jim","Liberal Democrats (LDP)",41
"QLD"," C","1","FULTON","Robert","Liberal Democrats (LDP)",42
"QLD"," C","2","FULTON","Robert","Liberal Democrats (LDP)",42
"QLD"," C","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",38
"QLD"," C","2","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",38
"QLD"," C","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",39
"QLD"," C","2","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",39
"QLD"," C","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",40
"QLD"," C","2","JACKSON","Noel W","D.L.P. - Democratic Labor Party",40
"QLD"," C","1","BRICE","Malcolm","Christian Democratic Party",51
"QLD"," C","2","BRICE","Malcolm","Christian Democratic Party",51
"QLD"," C","1","VOGEL","Tony","Christian Democratic Party",52
"QLD"," C","2","VOGEL","Tony","Christian Democratic Party",52
"QLD"," C","1","WHITE","Mark","Independent",9
"QLD"," C","2","WHITE","Mark","Independent",9
"QLD"," C","1","BAMBRICK","Don","Independent",10
"QLD"," C","2","BAMBRICK","Don","Independent",10
"QLD"," C","1","SMITH","Mark Leslie Chapman","Independent",11
"QLD"," C","2","SMITH","Mark Leslie Chapman","Independent",11
"QLD"," C","1","WIRTH","Jarrod John","Independent",12
"QLD"," C","2","WIRTH","Jarrod John","Independent",12
"QLD"," C","1","PYKE","Peter","",13
"QLD"," C","2","PYKE","Peter","",13
"QLD"," C","1","CARROLL","Maurie","Independent",14
"QLD"," C","2","CARROLL","Maurie","Independent",14
"QLD"," D","1","READING","Scott","Senator On-Line",26
"QLD"," D","1","EMBREY","Joh","Senator On-Line",27
"QLD"," D","1","VETTER","Anne","Carers Alliance",28
"QLD"," D","1","HORNE","Vicki","Carers Alliance",29
"QLD"," D","1","SPENCER","Paul","",31
"QLD"," D","1","SPENCER","Mary","",32
"QLD"," D","1","FRANCIS","Wendy","Family First",1
"QLD"," D","1","FINDLAY","Peter","Family First",2
"QLD"," D","1","NICKSON","Amanda","Family First",3
"QLD"," D","1","PETER","Andrew Mark","Shooters and Fishers",24
"QLD"," D","1","HUGGETT","Chris","Shooters and Fishers",25
"QLD"," D","1","PYKE","John Richard","",33
"QLD"," D","1","TOOLEY","Christopher Ronald","",34
"QLD"," D","1","LINDSAY-PARK","E-Jay","",37
"QLD"," D","1","GUERIN","Lachlan","",38
"QLD"," D","1","EVANS","Rod","One Nation",8
"QLD"," D","1","NELSON","Ian J","One Nation",9
"QLD"," D","1","WATTIE","Russell","",35
"QLD"," D","1","DOWELL","John","",36
"QLD"," D","1","STEVENSON","Paul Joseph","Australian Democrats",44
"QLD"," D","1","CLUSE","Jennifer","Australian Democrats",45
"QLD"," D","1","SCHUBACK","Peter","Australia First Party",10
"QLD"," D","1","MAINE","Nick","Australia First Party",11
"QLD"," D","1","ALBERTS","Kat","Secular Party of Australia",48
"QLD"," D","1","SHELTON","Peter","Secular Party of Australia",49
"QLD"," D","1","CARDWELL","Terence Leonard","The Climate Sceptics",6
"QLD"," D","1","JONES","Lance Herbert","The Climate Sceptics",7
"QLD"," D","1","THIES","Robert","Citizens Electoral Council",17
"QLD"," D","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",18
"QLD"," D","1","BRANDIS","George Henry","Liberal National Party of Queensland",22
"QLD"," D","1","JOYCE","Barnaby","Liberal National Party of Queensland",19
"QLD"," D","1","MASON","Brett","Liberal National Party of Queensland",20
"QLD"," D","1","TROOD","Russell","Liberal National Party of Queensland",21
"QLD"," D","1","BOYD","Julie","Liberal National Party of Queensland",23
"QLD"," D","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",15
"QLD"," D","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",16
"QLD"," D","1","GIBSON","Desiree Lee","Australian Sex Party",56
"QLD"," D","1","SHEEN","Tim","Australian Sex Party",57
"QLD"," D","1","WATERS","Larissa","The Greens",58
"QLD"," D","1","CONNORS","Elizabeth Louise Alice","The Greens",59
"QLD"," D","1","STIRLING","Jenny","The Greens",60
"QLD"," D","1","WATSON","Sam","Socialist Alliance",50
"QLD"," D","1","LOWE","David","Socialist Alliance",51
"QLD"," D","1","LUDWIG","Joe","Australian Labor Party",52
"QLD"," D","1","McLUCAS","Jan","Australian Labor Party",53
"QLD"," D","1","SMITH","David","Australian Labor Party",54
"QLD"," D","1","FENTIMAN","Shannon","Australian Labor Party",55
"QLD"," D","1","FRYAR","Jim","Liberal Democrats (LDP)",46
"QLD"," D","1","FULTON","Robert","Liberal Democrats (LDP)",47
"QLD"," D","1","ZEGENHAGEN","Tony","D.L.P. - Democratic Labor Party",12
"QLD"," D","1","BARR","Angelique Maree","D.L.P. - Democratic Labor Party",13
"QLD"," D","1","JACKSON","Noel W","D.L.P. - Democratic Labor Party",14
"QLD"," D","1","BRICE","Malcolm","Christian Democratic Party",4
"QLD"," D","1","VOGEL","Tony","Christian Democratic Party",5
"QLD"," D","1","WHITE","Mark","Independent",39
"QLD"," D","1","BAMBRICK","Don","Independent",40
"QLD"," D","1","SMITH","Mark Leslie Chapman","Independent",41
"QLD"," D","1","WIRTH","Jarrod John","Independent",42
"QLD"," D","1","PYKE","Peter","",30
"QLD"," D","1","CARROLL","Maurie","Independent",43
"QLD"," E","1","READING","Scott","Senator On-Line",21
"QLD"," E","1","EMBREY","Joh","Senator On-Line",22
"QLD"," E","1","VETTER","Anne","Carers Alliance",48
"QLD"," E","1","HORNE","Vicki","Carers Alliance",49
"QLD"," E","1","SPENCER","Paul","",40
"QLD"," E","1","SPENCER","Mary","",41
"QLD"," E","1","FRANCIS","Wendy","Family First",7
"QLD"," E","1","FINDLAY","Peter","Family First",8
"QLD"," E","1","NICKSON","Amanda","Family First",9
"QLD"," E","1","PETER","Andrew Mark","Shooters and Fishers",1
"QLD"," E","1","HUGGETT","Chris","Shooters and Fishers",2
"QLD"," E","1","PYKE","John Richard","",38
"QLD"," E","1","TOOLEY","Christopher Ronald","",39
"QLD"," E","1","LINDSAY-PARK","E-Jay","",36
"QLD"," E","1","GUERIN","Lachlan","",37
"QLD"," E","1","EVANS","Rod","One Nation",19
"QLD"," E","1","NELSON","Ian J","One Nation",20
"QLD"," E","1","WATTIE","Russell","",34
"QLD"," E","1","DOWELL","John","",35
"QLD"," E","1","STEVENSON","Paul Joseph","Australian Democrats",54
"QLD"," E","1","CLUSE","Jennifer","Australian Democrats",55
"QLD"," E","1","SCHUBACK","Peter","Australia First Party",32
"QLD"," E","1","MAINE","Nick","Australia First Party",33
"QLD"," E","1","ALBERTS","Kat","Secular Party of Australia",50
"QLD"," E","1","SHELTON","Peter","Secular Party of Australia",51
"QLD"," E","1","CARDWELL","Terence Leonard","The Climate Sceptics",15
"QLD"," E","1","JONES","Lance Herbert","The Climate Sceptics",16
"QLD"," E","1","THIES","Robert","Citizens Electoral Council",17
"QLD"," E","1","HETHERINGTON","Maurice Verney","Citizens Electoral Council",18
"QLD"," E","1","BRANDIS","George Henry","Liberal National Party of Queensland",10
"QLD"," E","1","JOYCE","Barnaby","Liberal National Party of Queensland",11
"QLD"," E","1","MASON","Brett","Liberal National Party of Queensland",12
"QLD"," E","1","TROOD","Russell","Liberal National Party of Queensland",13
"QLD"," E","1","BOYD","Julie","Liberal National Party of Queensland",14
"QLD"," E","1","DOUGLAS","Keith","Australian Fishing and Lifestyle Party",3
"QLD"," E","1","MANSFIELD","Michael","Australian Fishing and Lifestyle Party",4
"QLD"," E","1","GIBSON","Desiree Lee","Australian Sex Party",52
"QLD"," E","1","SHEEN","Tim","Australian Sex Party",53
"QLD"," E","1","WATERS","Larissa","The Greens",60
"QLD"," E","1","CONNORS","Elizabeth Louise Alice","The Greens",59
"QLD"," E","1","STIRLING","Jenny","The Greens",58
"QLD"," E","1","WATSON","Sam","Socialist Alliance",57
"QLD"," E","1","LOWE","David","Socialist Alliance",56
"QLD"," E","1","LUDWIG","Joe","Australian Labor Party",44
